image;id;Auteur;Nationalite;Titre;Date_de_creation;Image;Couleur
;98;Alejandro MAGALLANES;mexicaine;Affiche;2009;image098.jpg;189,151,122
;99;Alejandro MAGALLANES;mexicaine;Affiche;2009;image099.jpg;189,151,122
;100;Alejandro MAGALLANES;mexicaine;Affiche;2009;image100.jpg;189,151,122
;101;Laurent MALONE, Francine ZUBEIL;;Affiche Attablé;1995;image101.JPG;207,211,200
;102;MANLEF (Manon LEFEBVRE, dite);francaise;Affiche de la Saison Graphique;2019;image102.jpg;40,54,56
;103;Lika MAROWSKA (Angélique Jeanne MAROWSKA, dit);francaise;Affiche Künstler MaskenFest - Modenarrheiten aus allen Zeiten;1912;image103.jpg;157,133,97
;104;Lika MAROWSKA (Angélique Jeanne MAROWSKA, dit);francaise;Affiche Deutscher Zuverlässigkeits Flug am Oberrhein;1912;image104.jpg;154,131,113
;105;matali crasset;francaise;Construction mentale;2018;image105.jpg;242,250,29
;106;Paulina MATUSIAK;neerlandaise et polonaise;Affiche 20ème festival international de l'affiche et du graphisme de Chaumont 16 mai - 14 juin 2009. Affiche Oiseaux et fleurs;2009;image106.JPG;67,67,73
;107;Paulina MATUSIAK;neerlandaise et polonaise;Affiche;2009;image107.jpg;55,72,80
;108;Paulina MATUSIAK;neerlandaise et polonaise;Affiche;2009;image108.jpg;55,72,80
;109;Paulina MATUSIAK;neerlandaise et polonaise;Affiche;2009;image109.jpg;55,72,80
;110;Fanette MELLIER;francaise;Affiche Losanges couleurs;s.d.;image110.JPG;157,122,113
;111;Fanette MELLIER;francaise;Affiche Celles qui savaient;s.d.;image111.JPG;191,196,203
;112;Fanette MELLIER;francaise;Affiche Etude d'une affiche pour la fête de la musique 2008;2008;image112.JPG;20,22,23
;113;Fanette MELLIER;francaise;Affiche pour la fête de la musique;2008;image113.JPG;208,178,168
;114;Fanette MELLIER;francaise;Affiche pour la fête de la musique;2008;image114.JPG;231,232,237
;115;Fanette MELLIER;francaise;Affiche Professions culture;2009;image115.JPG;72,97,174
;116;Fanette MELLIER;francaise;Affiche Professions culture;2009;image116.JPG;67,150,65
;117;Fanette MELLIER;francaise;Affiche Professions culture;2009;image117.JPG;223,223,224
;118;Fanette MELLIER;francaise;Affiche Professions culture;2009;image118.JPG;218,207,69
;119;Fanette MELLIER;francaise;Affiche L'art dans la rue;2010;image119.JPG;191,198,212
;120;Fanette MELLIER;francaise;Affiche L'art dans la rue;2010;image120.JPG;223,223,224
;121;Fanette MELLIER;francaise;Affiche de la Saison Graphique;2013;image121.jpg;134,141,133
;122;Fanette MELLIER;francaise;Affiche de la Saison Graphique;2013;image122.jpg;147,153,148
;123;Fanette MELLIER;francaise;Affiche de la Saison Graphique;2014;image123.jpg;191,187,185
;124;Nathalie MINNE;francaise;Affiche Visage;1995;image124.JPG;29,29,29
;125;Anita MOLINERO;francaise;Sans titre mais avec particules;2015;image125.jpg;38,31,37
;126;Anita MOLINERO;francaise;Sans titre mais avec particules;2015;image126.jpg;40,33,40
;127;MOREPUBLISHERS, Dora GARCÍA;;In an Old House;2018;image127.jpg;201,201,201
;128;Claire MOREUX;francaise;Affiche Fête de la musique;2011;image128.JPG;217,192,64
;129;Claire MOREUX;francaise;Affiche Fête de la musique;2011;image129.JPG;212,215,221
;130;Flora MOSCOVICI;francaise;Sans titre;2018;image130.jpg;212,157,209
;131;Otobong NKANGA;nigeriane et belge;Affiche Object Atlas: War and Love Booty;2011;image131.jpg;36,68,86
;132;Otobong NKANGA;nigeriane et belge;Affiche Object Atlas: The Currency Affair;2011;image132.jpg;224,222,197
;133;Alexandra NOTH;suisse;Affiche;2009;image133.jpg;16,46,70
;134;Alexandra NOTH;suisse;Affiche;2009;image134.jpg;16,46,70
;135;Alexandra NOTH;suisse;Affiche;2009;image135.jpg;16,46,70
;136;Sophie NYS;belge;sunday # 003. Exhibition;2010;image136.jpg;142,85,89
;137;Marjorie OBER;francaise;Affiche de la Saison Graphique;2019;image137.jpg;38,57,112
;138;Anouchka OLER;francaise;The Thing Show : Ego;2018;image138.JPG;236,100,40
;139;Anouchka OLER;francaise;The Thing Show : Jox Colombox;2018;image139.JPG;205,109,91
;140;Anouchka OLER;francaise;All Insure, All Unsure;2019;image140.JPG;210,195,188
;141;Anouchka OLER;francaise;The Thing Show : The Red Dykes;2019;image141.JPG;212,197,186
;142;Anouchka OLER;francaise;Le Drama More Show;2021;image142.JPG;184,100,134
;143;Chana ORLOFF;francaise;Album de bois gravés;1919;image143.JPG;216,202,165
;144;Muriel PARIS;francaise;Affiche Kishida;1994;image144.JPG;205,203,196
;145;Eloïsa PÉREZ;;Affiche Appel à candidatures;2014;image145.JPG;54,44,121
;146;Aude PERRIER;francaise;Affiche pour la fête de la musique;2009;image146.jpg;250,219,6
;147;Aude PERRIER;francaise;Affiche pour la fête de la musique;2009;image147.jpg;250,219,5
;148;Aude PERRIER;francaise;Affiche pour la fête de la musique;2009;image148.jpg;250,219,7
;149;Aude PERRIER;francaise;Affiche pour la fête de la musique;2009;image149.JPG;216,181,45
;150;Aude PERRIER;francaise;Affiche pour la fête de la musique;2009;image150.JPG;223,227,234
;151;Aude PERRIER;francaise;Fête de la musique;2009;image151.JPG;230,196,27
;152;Aude PERRIER;francaise;Fête de la musique;2009;image152.JPG;225,182,31
;153;Aude PERRIER;francaise;Fête de la musique;2009;image153.JPG;115,165,225
;154;Kirsten PIEROTH;allemande;sunday # 021. Untitled (Eggs);2013;image154.jpg;198,198,198
;155;Emilie PITOISET;francaise;Hommage à la jeunesse;2017;image155.jpg;192,188,201
;156;Marie QUEAU;francaise;Gojira;2015;image156.jpg;134,170,216
;157;Ethel REED;americaine;Affiche Uncle Sam's Church;s.d.;image157.jpg;173,165,146
;158;Ethel REED;americaine;Affiche The White Wampun (tekahionwake);1895;image158.jpg;148,137,127
;159;Ethel REED;americaine;Affiche Is Polite Society Polite;1895;image159.jpg;193,49,52
;160;Ethel REED;americaine;Affiche The House of the Trees;1895;image160.jpg;170,163,152
;161;Ethel REED;americaine;Affiche The Quest of the golden girl;1896;image161.jpg;129,133,124
;162;Ethel REED;americaine;Affiche A Virginia-Cousin &/Bar Harbor Tales;1896;image162.jpg;59,48,50
;163;Marie REINERT;francaise;Sans titre;2015;image163.jpg;176,165,168
;164;Marie REINERT;francaise;Sans titre;2015;image164.jpg;236,243,247
;165;Delphine REIST;suisse;Tache de vin;2015;image165.jpg;207,218,239
;166;Delphine REIST;suisse;Tâche de vin;2015;image166.jpg;207,218,239
;167;Lili REYNAUD DEWAR;francaise;Power, Corruption & Lies;2006;image167.jpg;5,172,91
;168;Lili REYNAUD DEWAR;francaise;The Center and the Eyes;2006;image168.jpg;6,6,6
;169;Lili REYNAUD DEWAR;francaise;4 posters pour 2 récits. The Camp Woman Figure;2007;image169.jpg;160,137,82
;170;Lili REYNAUD DEWAR;francaise;4 posters pour 2 récits. The Story of the Camp Woman Figure;2007;image170.jpg;31,31,31
;171;Lili REYNAUD DEWAR;francaise;4 posters pour 2 récits. La Figure Provisoirement Authentique du Griot;2007;image171.jpg;162,139,82
;172;Lili REYNAUD DEWAR;francaise;4 posters pour 2 récits. Le récit de la figure provisoirement authentique du griot;2007;image172.jpg;31,31,32
;173;Lili REYNAUD DEWAR;francaise;Here We Are ! Let us say yes to our presence together in chaos !;2007;image173.jpg;6,6,5
;174;Lili REYNAUD DEWAR;francaise;En réalité, le Sphinx est-il une annexe du monument ou le monument une annexe du Sphinx ?;2008;image174.jpg;230,230,230
;175;Lili REYNAUD DEWAR;francaise;In Every Room There is the / a Ghost of Sex. Could anything be more ridiculous (Part 1);2008;image175.jpg;107,91,83
;176;Lili REYNAUD DEWAR;francaise;In Every Room There is the / a Ghost of Sex. Could anything be more ridiculous (Part 2);2008;image176.jpg;84,91,91
;177;Lili REYNAUD DEWAR;francaise;In Every Room There is the / a Ghost of Sex. Could anything be more ridiculous (Part 3);2008;image177.jpg;91,79,75
;178;Lili REYNAUD DEWAR;francaise;In Every Room There is the / a Ghost of Sex. Counter-Design;2008;image178.jpg;83,89,90
;179;Lili REYNAUD DEWAR;francaise;In Every Room There is the / a Ghost of Sex. The Chair;2008;image179.jpg;90,79,74
;180;Lili REYNAUD DEWAR;francaise;In Every Room There is the / a Ghost of Sex. Modern Style Furniture;2008;image180.jpg;102,90,82
