astronaut,astronautLabel,date_of_birth,country_of_citizenship,country_of_citizenshipLabel
http://www.wikidata.org/entity/Q497530,Brewster H. Shaw,1945-05-16T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q498775,Robert L. Gibson,1946-10-30T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q499636,Andreas Mogensen,1976-11-02T00:00:00Z,http://www.wikidata.org/entity/Q756617,Kingdom of Denmark
http://www.wikidata.org/entity/Q501697,John M. Lounge,1946-06-28T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q502101,Andrey Borisenko,1964-04-17T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q502963,Richard F. Gordon,1929-10-05T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q505439,Piers Sellers,1955-04-11T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q505439,Piers Sellers,1955-04-11T00:00:00Z,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q505530,Andrew J. Feustel,1965-08-25T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q506349,Andrew M. Allen,1955-08-04T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q507046,Owen K. Garriott,1930-11-22T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q507894,Andy Thomas,1951-12-18T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q507894,Andy Thomas,1951-12-18T00:00:00Z,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q512266,Thomas Pesquet,1978-02-27T00:00:00Z,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q513131,Kenneth Cockrell,1950-04-09T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q518012,Timothy Peake,1972-04-07T00:00:00Z,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q519124,George Nelson,1950-07-13T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q519149,Robert F. Overmyer,1936-07-14T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q519256,Jake Garn,1932-10-12T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q519268,C. Gordon Fullerton,1936-10-11T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q520166,Gregory H. Johnson,1962-05-12T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q520176,Shane Kimbrough,1967-06-04T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q520334,Mikhail Korniyenko,1960-04-15T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q520384,Thomas Marshburn,1960-08-29T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q520618,Richard M. Linnehan,1957-09-19T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q520760,Yuri Baturin,1949-01-01T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q520760,Yuri Baturin,1949-06-12T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q520760,Yuri Baturin,1949-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q520760,Yuri Baturin,1949-06-12T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q521395,Mamoru Mohri,1948-01-29T00:00:00Z,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q523835,Robert L. Behnken,1970-07-28T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q528832,James S. Voss,1949-03-03T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q528943,Guion Bluford,1942-11-22T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q531065,Steve MacLean,1954-12-14T00:00:00Z,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q533560,Marianne Merchez,1960-10-25T00:00:00Z,http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q534597,Robert A. Parker,1936-12-14T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q535157,Valentin Lebedev,1942-04-14T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
